root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-03-19,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,377-04470,21759187,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=377-04470&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000095012321003679/0000950123-21-003679-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000095012321003679/filename1.htm
,,2021-12-29,2020-12-31,REPUBLIC OF THE PHILIPPINES,,0001030717,1030717,"New York, New York",[],333-11554,211529525,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-11554&action=getcompany,https://www.sec.gov/Archives/edgar/data/1030717/000119312521369335/0001193125-21-369335-index.html,https://www.sec.gov/Archives/edgar/data/1030717/000119312521369335/d268385dex99c1.htm
,,2021-07-01,,Atlas Crest Investment Corp.,"ACHR, ACHR-WT",0001824502,1824502,"New York, New York",Delaware,333-254007,211064099,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254007&action=getcompany,https://www.sec.gov/Archives/edgar/data/1824502/000110465921088003/0001104659-21-088003-index.html,https://www.sec.gov/Archives/edgar/data/1824502/000110465921088003/tm218061-12_s4a.htm
,,2021-05-27,,Dreyfus Treasury Obligations Cash Management,,0000796251,796251,"New York, New York",New York,811-04723,21969775,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04723&action=getcompany,https://www.sec.gov/Archives/edgar/data/796251/000079625121000005/0000796251-21-000005-index.html,https://www.sec.gov/Archives/edgar/data/796251/000079625121000005/ck0000796251-20210524.htm
,,2021-10-25,,BLACKROCK MULTI STATE MUNICIPAL SERIES TRUST,,0000774013,774013,"Wilmington, Delaware",Massachusetts,811-04375,211343469,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04375&action=getcompany,https://www.sec.gov/Archives/edgar/data/774013/000119312521306452/0001193125-21-306452-index.html,https://www.sec.gov/Archives/edgar/data/774013/000119312521306452/d220951d485bpos.htm
,,2021-07-16,,"dMY Technology Group, Inc. III","IONQ, IONQ-WT",0001824920,182492,"Las Vegas, Nevada",Delaware,333-254840,211096268,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254840&action=getcompany,https://www.sec.gov/Archives/edgar/data/182492/000119312521217582/0001193125-21-217582-index.html,https://www.sec.gov/Archives/edgar/data/182492/000119312521217582/d70340ds4a.htm
,,2021-07-21,,Otonomo Technologies Ltd.,,0001842498,1842498,"Herzeliya Pituach, Israel",Israel,333-254186,211104796,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254186&action=getcompany,https://www.sec.gov/Archives/edgar/data/1842498/000119312521220666/0001193125-21-220666-index.html,https://www.sec.gov/Archives/edgar/data/1842498/000119312521220666/d12389d424b3.htm
,,2021-03-26,,"BNY Mellon Strategic Funds, Inc.",,0000737520,73752,"New York, New York",New York,811-03940,21775768,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-03940&action=getcompany,https://www.sec.gov/Archives/edgar/data/73752/000073752021000013/0000737520-21-000013-index.html,https://www.sec.gov/Archives/edgar/data/73752/000073752021000013/ck0000737520-20210323.htm
,,2021-05-27,,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,,0000843781,843781,"New York, New York",New York,811-05718,21968778,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-05718&action=getcompany,https://www.sec.gov/Archives/edgar/data/843781/000084378121000006/0000843781-21-000006-index.html,https://www.sec.gov/Archives/edgar/data/843781/000084378121000006/ck0000843781-20210524.htm
,,2021-08-05,,"dMY Technology Group, Inc. III","IONQ, IONQ-WT",0001824920,182492,"Las Vegas, Nevada",Delaware,333-254840,211145407,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254840&action=getcompany,https://www.sec.gov/Archives/edgar/data/182492/000119312521236473/0001193125-21-236473-index.html,https://www.sec.gov/Archives/edgar/data/182492/000119312521236473/d70340ds4a.htm
